seq,coremotion_timestamp,host_timestamp_utc,sensor_location,user_accel_x,user_accel_y,user_accel_z,gravity_x,gravity_y,gravity_z,ax,ay,az,gx,gy,gz
28,4465207.766830668,1790319120.753233000,left,-0.000381589,-0.000372201,-0.003566235,0.849684775,0.257176697,0.460321277,0.849303186,0.256804496,0.456755042,-0.006882994,0.037829518,-0.015433382
29,4465207.806830668,1790319120.792996000,left,-0.010982156,0.011076272,0.003956139,0.848927975,0.257379323,0.461603165,0.837945819,0.268455595,0.465559304,-0.005134901,0.036792289,0.028473210
30,4465207.846830668,1790319120.833098000,left,-0.017489016,0.013137996,0.014076978,0.848826051,0.257172495,0.461905837,0.831337035,0.270310491,0.475982815,0.022398993,-0.010881104,0.036797214
31,4465207.886830668,1790319120.879068900,left,0.001540720,-0.004606724,0.000420332,0.849204540,0.257143050,0.461225718,0.850745261,0.252536327,0.461646050,0.002536684,-0.026715629,0.011378512
32,4465207.926830668,1790319120.926256000,left,0.005314529,-0.006421626,-0.004767448,0.849077702,0.257138789,0.461461842,0.854392231,0.250717163,0.456694394,-0.002917715,0.008395154,-0.000548111
33,4465207.966830668,1790319120.961110000,left,-0.000630021,-0.000415802,-0.001038939,0.848370254,0.257318467,0.462660879,0.847740233,0.256902665,0.461621940,-0.025087658,0.013529755,-0.018055130
34,4465208.006830668,1790319121.016080900,left,-0.007182121,0.002225012,0.008982748,0.848271787,0.257311195,0.462845296,0.841089666,0.259536207,0.471828043,-0.026082810,-0.012797989,-0.012018013
35,4465208.046830668,1790319121.051188000,left,0.000049174,-0.001677155,-0.004068941,0.848681390,0.257076383,0.462224782,0.848730564,0.255399227,0.458155841,-0.001679230,-0.003862372,0.002928229
36,4465208.086830668,1790319121.081166000,left,0.000782669,-0.001289725,-0.003206164,0.848681390,0.257076383,0.462224782,0.849464059,0.255786657,0.459018618,-0.000122135,-0.001096667,-0.001269038
37,4465208.126830668,1790319121.139057200,left,-0.004199445,0.000989348,0.001378328,0.848681390,0.257076383,0.462224782,0.844481945,0.258065730,0.463603109,0.016141837,-0.019717311,0.020726051
38,4465208.166830668,1790319121.168888000,left,0.000109434,-0.000675797,-0.004053593,0.848739922,0.256923258,0.462202817,0.848849356,0.256247461,0.458149225,-0.000917630,0.027736308,-0.008363282
39,4465208.206830668,1790319121.252891000,left,0.000680745,-0.000011116,-0.005185455,0.848739922,0.256923258,0.462202817,0.849420667,0.256912142,0.457017362,0.002813302,0.014864915,-0.000694831
40,4465208.246830668,1790319121.253077000,left,0.001251996,0.000653535,-0.006317317,0.848739922,0.256923258,0.462202817,0.849991918,0.257576793,0.455885500,0.006544233,0.001993521,0.006973621
41,4465208.286830668,1790319121.281098000,left,-0.000894248,-0.001017839,-0.001301348,0.848166823,0.257026821,0.463195354,0.847272575,0.256008983,0.461894006,-0.003052444,0.027764067,-0.006390144
42,4465208.326830668,1790319121.336221000,left,-0.001741886,-0.003502607,0.002138704,0.847729087,0.257207245,0.463896513,0.845987201,0.253704637,0.466035217,0.003665711,0.007026844,-0.002029462
43,4465208.366830668,1790319121.366647000,left,0.003408074,-0.005951643,-0.005210042,0.848492801,0.256865591,0.462687999,0.851900876,0.250913948,0.457477957,0.011755731,-0.044196729,0.015651280
44,4465208.406830668,1790319121.401746000,left,0.004774094,-0.004107207,-0.009286642,0.848492801,0.256865591,0.462687999,0.853266895,0.252758384,0.453401357,-0.014719866,0.004555531,-0.009497318
45,4465208.446830668,1790319121.456048000,left,0.001503289,-0.002249151,-0.001444548,0.848338902,0.256770581,0.463022351,0.849842191,0.254521430,0.461577803,-0.004035416,0.001248888,-0.002603667
46,4465208.486830668,1790319121.529478000,left,-0.000656843,-0.001096666,-0.001047075,0.848338902,0.256770581,0.463022351,0.847682059,0.255673915,0.461975276,-0.001813431,-0.002505320,-0.000682607
47,4465208.526830669,1790319121.529512000,left,-0.002816975,0.000055820,-0.000649601,0.848338902,0.256770581,0.463022351,0.845521927,0.256826401,0.462372750,0.000408554,-0.006259527,0.001238453
48,4465208.566830669,1790319121.563266000,left,0.000598371,-0.000969768,-0.001431435,0.849058092,0.256411284,0.461902052,0.849656463,0.255441517,0.460470617,0.014813459,-0.022405433,0.014719849
49,4465208.606830669,1790319121.600427200,left,0.003496289,-0.003992319,-0.005235583,0.849365354,0.256205231,0.461451620,0.852861643,0.252212912,0.456216037,-0.000518596,0.001537759,0.003031012
50,4465208.646830669,1790319121.644028000,left,-0.001821458,-0.001760781,0.000624031,0.849243641,0.256218910,0.461667448,0.847422183,0.254458129,0.462291479,0.000374318,-0.002868230,0.000100448
51,4465208.686830669,1790319121.680738000,left,-0.002194464,0.000573486,0.003367901,0.849468887,0.256113172,0.461312115,0.847274423,0.256686658,0.464680016,-0.001521633,-0.007567989,0.005117056
52,4465208.726830669,1790319121.720594000,left,-0.001051366,0.000824779,0.000368595,0.850392520,0.255589396,0.459898949,0.849341154,0.256414175,0.460267544,0.038924288,-0.051709760,0.048898630
53,4465208.766830669,1790319121.768701000,left,0.005779922,-0.001768053,-0.017771602,0.850690007,0.255493343,0.459401727,0.856469929,0.253725290,0.441630125,0.003292117,0.045774084,-0.012038786
54,4465208.806830669,1790319121.842861200,left,0.006650567,-0.005823195,-0.010383606,0.850690007,0.255493343,0.459401727,0.857340574,0.249670148,0.449018121,0.005970447,0.006731663,0.000952735
55,4465208.846830669,1790319121.842907000,left,0.007521272,-0.009878337,-0.002995640,0.850690007,0.255493343,0.459401727,0.858211279,0.245615005,0.456406087,0.008648776,-0.032310758,0.013944254
56,4465208.886830669,1790319121.877569000,left,0.004779696,-0.004785329,-0.002367407,0.850942075,0.255670160,0.458836049,0.855721772,0.250884831,0.456468642,0.019981330,-0.019420963,0.003316955
57,4465208.926830669,1790319121.916531000,left,-0.006220818,0.011400342,-0.008424848,0.850770235,0.256334633,0.458784163,0.844549417,0.267734975,0.450359315,0.000526911,0.004273877,-0.008230189
58,4465208.966830669,1790319121.957268000,left,0.010287821,-0.010876462,-0.015660077,0.850878775,0.255428374,0.459087998,0.861166596,0.244551912,0.443427920,-0.006476598,0.027024776,-0.007699199
59,4465209.006830669,1790319122.016880000,left,0.007901251,-0.012518883,-0.003961176,0.850515664,0.255544007,0.459695995,0.858416915,0.243025124,0.455734819,-0.006549504,0.032091130,-0.014019432
60,4465209.046830669,1790319122.067179000,left,0.001770377,-0.002026945,-0.002836466,0.850309849,0.255981117,0.459834069,0.852080226,0.253954172,0.456997603,-0.001745267,-0.001639631,-0.010464976
61,4465209.086830669,1790319122.122355000,left,0.002600968,-0.003208071,-0.002194077,0.850113809,0.255836248,0.460276902,0.852714777,0.252628177,0.458082825,-0.003992809,0.009588661,-0.008299135
62,4465209.126830669,1790319122.122753100,left,0.003235459,-0.004534006,-0.001108825,0.850113809,0.255836248,0.460276902,0.853349268,0.251302242,0.459168077,-0.006240351,0.020816952,-0.006133293
63,4465209.166830669,1790319122.173167000,left,0.001545966,-0.004609138,-0.002824336,0.849587679,0.256068707,0.461118191,0.851133645,0.251459569,0.463942528,0.000811125,0.018609373,-0.010814819
64,4465209.206830669,1790319122.220327000,left,-0.006810486,0.004189014,0.002579808,0.849587679,0.256068707,0.461118191,0.842777193,0.260257721,0.463698000,0.004006301,-0.004627518,-0.003194919
65,4465209.246830669,1790319122.250238000,left,-0.000914454,0.002370417,-0.006819993,0.849587679,0.256068707,0.461118191,0.848673224,0.258439124,0.454298198,-0.000674598,-0.016907811,0.005298630
66,4465209.286830669,1790319122.281125000,left,0.003687382,-0.004609168,-0.001476198,0.849587679,0.256068707,0.461118191,0.853275061,0.251459539,0.459641993,-0.000847481,0.004013164,-0.001811954
67,4465209.326830669,1790319122.318860000,left,0.001293421,-0.001483768,-0.001398474,0.849244773,0.256436259,0.461544484,0.850538194,0.254952490,0.460146010,-0.005086433,0.029936839,-0.017179566
68,4465209.366830669,1790319122.379310100,left,-0.009735167,0.006908149,0.006282568,0.848886251,0.256646097,0.462087661,0.839151084,0.263554245,0.468370229,-0.010006981,-0.002809856,-0.005105468
